Ticker,Price2
ALTVX,9.399999618530273
BLUEX,35.209999084472656
BPLSX,15.010000228881836
C_A_S_H,1.0
DFAR,20.74358558654785
FREL,24.246822357177734
FSMD,33.13865280151367
GARIX,19.780000686645508
GCHDX,10.819999694824219
ICBFX,6.010000228881836
IGMWX,7.199999809265137
IGRO,61.33000564575195
IMCB,62.02149963378906
ISCF,30.610000610351562
IVV,448.8455505371094
JPEM,50.91583251953125
JPRE,41.18934631347656
MEAR,49.701881408691406
MMIN,23.421836853027344
MMIT,23.8676700592041
PEX,26.569610595703125
PFRAX,9.449999809265137
PSAIX,9.670000076293945
SCHD,73.12187957763672
SNDPX,13.568931579589844
SWRSX,10.130000114440918
VBR,163.39834594726562
VFIUX,9.710000038146973
VGCAX,18.3700008392334
VICSX,20.850000381469727
VIGI,74.10829162597656
VNQ,80.8038330078125
VO,216.59034729003906
VONG,72.28770446777344
VTEB,49.05321502685547
